Org ID,Organisation,Operation Area,Org Type,Org Website,Volunteer URL,Donate URL,IG URL,FB URL,Events URL 1,Events URL 2,Locally-owned,Parent,Description
ORG038,Folkestone Fellas,Folkestone,Community Group,https://folkestonefellas.com/,,,https://www.instagram.com/folkestone_fellas,,,,TRUE,,"Folkestone Fellas is a community for men in Folkestone and the surrounding areas to make new friends. Making meaningful new friendships as a grown man isn't easy - and with loneliness becoming a real epidemic in our modern world, the impact of this reality on the mental health of men is real.

Whether you want to hang out in on whatsapp community, or join us for our in person meetups - we hope Folkestone Fellas can be a place for you to find your people."
ORG039,Folkeshare,Folkestone,Community Interest Company,https://folkeshare.org.uk/,,,https://www.instagram.com/folkesharecic,,,,TRUE,,"Folkeshare is a friendly, affordable, and sustainable resource right in the heart of the community. We believe a strong community is an inclusive one. Everyone is welcome here, regardless of background, age, ability, or income."
ORG040,Go Folkestone,Folkestone,,https://gofolkestone.org.uk/,,,,https://www.facebook.com/GoFolkestone,https://gofolkestone.org.uk/events/,,TRUE,,"We are a volunteer-led, non-political action group passionate about making Folkestone a better place to live, work, and visit. Bringing people together to protect our heritage, improve our environment, and champion projects that make everyday life in Folkestone richer, greener, and more rewarding."
ORG041,Mental Health Matters,National,Registered Charity,https://www.mhm.org.uk/,,https://www.mhm.org.uk/,https://www.instagram.com/mentalhealthmatterscharity/,https://www.facebook.com/MentalHealthMattersCharity/,,,FALSE,,"Mental Health Matters (MHM) is a national charity with over 40 years of experience in delivering high-quality mental health services. MHM has a hugely positive impact on the lives of people living with mental health needs in our local communities. We provide services across England, from Northumberland to Devon, led by a highly motivated and enthusiastic workforce, who are committed to delivering the best quality services to those in need of support."
ORG042,South Kent Mind,District,Registered Charity,https://southkentmind.org.uk/,https://southkentmind.org.uk/volunteering,https://southkentmind.org.uk/make-a-donation,,https://www.facebook.com/southkentmind,,,FALSE,,"We are South Kent Mind, the mental health charity for people from the South Kent Coastal area. If you are a resident of Folkestone, Hythe, Dover, Deal, Sandwich, New Romney, or anywhere between, we will guide you along the pathway towards better mental health."
ORG043,UK Mens Sheds Association,Folkestone,Registered Charity,https://menssheds.org.uk/,,,https://www.instagram.com/ukmenssheds/?hl=en,,,,FALSE,,"Connection, conversation and creation – that’s what joining a Men’s Shed is all about.

Men’s Sheds encourage people to come together to make, repair and repurpose, supporting projects in their local communities.

Improving wellbeing, reducing loneliness and combatting social isolation."
ORG044,Folkestone Town Council,Folkestone,Government,,,,,,,,TRUE,,
ORG045,Wild With Wheels,Folkestone,Community Group,https://wildwithwheels.com/,,,https://www.instagram.com/Wild_With_Wheels,https://www.facebook.com/wildwithwheels/,https://www.eventbrite.co.uk/o/wild-with-wheels-56027938283,,TRUE,,"Wild with Wheels offers free, safe and accessible routes for guided, interactive nature walks and experiencesfor people with disabilities and impairments."
ORG047,Rethink Mental Illness,National,Registered Charity,https://www.rethink.org/,https://www.rethink.org/get-involved/use-your-experience/volunteer-with-us/,https://www.rethink.org/get-involved/ways-to-give/ways-to-donate/make-a-donation-today/,https://www.instagram.com/rethinkmentalillness/,https://www.facebook.com/RethinkCharity,,,FALSE,,"We are Rethink Mental Illness. No matter how bad things are, we can help people severely affected by mental illness improve their lives."
ORG048,Porchlight,Kent,Registered Charity,https://www.porchlight.org.uk/,https://www.porchlight.org.uk/get-involved/volunteer-with-us,https://www.porchlight.org.uk/donate,https://instagram.com/porchlight1974,https://www.facebook.com/Porchlight1974,,,FALSE,,"We were founded to help people facing the devastating effects of homelessness. Today, we also tackle the causes and consequences of poverty and inequality."
ORG049,HomeStart Shepway,Folkestone,Registered Charity,https://homestartshepway.org.uk/,https://homestartshepway.org.uk/volunteering/,,https://www.instagram.com/homestartshepway/,https://www.facebook.com/hsshepway/,,,TRUE,,"Home-Start is a local community network of trained volunteers and expert support helping families with young children through their challenging times. We are there for parents when they need us the most because childhood can’t wait.

Home-Start works with families in communities right across the UK. Starting in the home, our approach is tailored to what the family need. No judgement, it is just compassionate, confidential help and expert support."
ORG050,Action on Homelessness in Folkestone,Folkestone,Registered Charity,,,,,https://www.facebook.com/actiononhomelessnessinfolkestone/,,,TRUE,,The relief of poverty of the people who are homeless and rough sleepers in Folkestone by the provision of a warm meal and sign posting to medical and rehabiltation support.
ORG051,Kent Community Pantry,Kent,Registered Charity,https://www.kentcommunitypantry.org,https://www.kentcommunitypantry.org/volunteering.html,,,,,,,,"Kent Community Pantry is part of the Children and Families charity group.
KCP aims is to make healthy and nutritious food affordable!"
ORG052,Folkestone Performing Arts Company,Folkestone,Registered Charity,https://www.fpac.info/,,https://www.fpac.info/support,,,,,,,"FPAC is a theatre company that celebrates local stories, shared creativity & innovation. We create theatre that is vibrant, relevant and rooted in the lives of the people who live across southeast Kent."
ORG053,Little Free Library,International,,https://littlefreelibrary.org/,,,https://www.instagram.com/littlelibraryfolkestone?igsh=MWl5Yjd2ajllc25kNg==,,,,,,"Our vision is a Little Free Library in every community and a book for every reader. We believe all people are empowered when the opportunity to discover a personally relevant book to read is not limited by time, space, or privilege."
ORG054,FHDC,District,Government,https://www.folkestone-hythe.gov.uk/,,,https://www.instagram.com/folkestonehythedc/,,,,TRUE,,
